#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
15059.82;0;426;0;2;0/15059.82;0/3932.89,1/658.65;0/0;0/15059.82,1/15059.82;0/0;0/13,1/7;0/0;0/15,1/17;0/0;0/0,1/0;0/0;0/186,1/240;0/0;0/1135,1/1470
15119.87;0;428;0;2;0/15119.87;0/3940.23,1/661.12;0/0;0/15119.87,1/15119.87;0/0;0/20,1/7;0/0;0/20,1/19;0/0;0/0,1/0;0/0;0/188,1/240;0/0;0/1140,1/1476
15179.89;0;429;0;2;0/15179.89;0/4000.25,1/663;0/0;0/15179.89,1/15179.89;0/0;0/19,1/8;0/0;0/20,1/19;0/0;0/0,1/0;0/0;0/188,1/241;0/0;0/1140,1/1482
15239.69;0;430;0;2;0/15239.69;0/4010.53,1/665.25;0/0;0/15239.69,1/15239.69;0/0;0/23,1/11;0/0;0/23,1/22;0/0;0/0,1/0;0/0;0/189,1/241;0/0;0/1146,1/1488
15299.59;0;430;0;2;0/15299.59;0/4011.44,1/667.59;0/0;0/15299.59,1/15299.59;0/0;0/21,1/13;0/0;0/22,1/24;0/0;0/0,1/0;0/0;0/189,1/241;0/0;0/1151,1/1494
15359.59;0;430;0;2;0/15359.59;0/4041.29,1/669.14;0/0;0/15359.59,1/15359.59;0/0;0/19,1/6;0/0;0/19,1/18;0/0;0/0,1/0;0/0;0/189,1/241;0/0;0/1154,1/1500
15419.75;0;432;0;2;0/15419.75;0/4073.36,1/670.86;0/0;0/15419.75,1/15419.75;0/0;0/22,1/8;0/0;0/23,1/18;0/0;0/0,1/0;0/0;0/190,1/242;0/0;0/1157,1/1506
15479.65;0;433;0;2;0/15479.65;0/4075.96,1/673.09;0/0;0/15479.65,1/15479.65;0/0;0/25,1/13;0/0;0/27,1/22;0/0;0/0,1/0;0/0;0/190,1/243;0/0;0/1163,1/1512
15539.96;0;435;0;2;0/15539.96;0/4077.81,1/673.78;0/0;0/15539.96,1/15539.96;0/0;0/20,1/9;0/0;0/24,1/16;0/0;0/0,1/0;0/0;0/190,1/245;0/0;0/1169,1/1518
15599.6;0;437;0;2;0/15599.6;0/4079.37,1/677.05;0/0;0/15599.6,1/15599.6;0/0;0/15,1/13;0/0;0/18,1/21;0/0;0/0,1/0;0/0;0/191,1/246;0/0;0/1175,1/1524
15659.96;0;442;0;2;0/15659.96;0/4097.45,1/678.05;0/0;0/15659.96,1/15659.96;0/0;0/18,1/8;0/0;0/20,1/17;0/0;0/0,1/0;0/0;0/194,1/248;0/0;0/1179,1/1530
15719.95;0;446;0;2;0/15719.95;0/4137.75,1/679.46;0/0;0/15719.95,1/15719.95;0/0;0/18,1/9;0/0;0/18,1/18;0/0;0/0,1/0;0/0;0/196,1/250;0/0;0/1181,1/1536
15779.91;0;448;0;2;0/15779.91;0/4197.71,1/681.77;0/0;0/15779.91,1/15779.91;0/0;0/18,1/15;0/0;0/18,1/25;0/0;0/0,1/0;0/0;0/196,1/252;0/0;0/1181,1/1541
15839.67;0;451;0;2;0/15839.67;0/4257.47,1/683.1;0/0;0/15839.67,1/15839.67;0/0;0/18,1/14;0/0;0/18,1/25;0/0;0/0,1/0;0/0;0/196,1/255;0/0;0/1181,1/1547
15899.86;0;453;0;2;0/15899.86;0/4317.66,1/684.97;0/0;0/15899.86,1/15899.86;0/0;0/18,1/14;0/0;0/18,1/25;0/0;0/0,1/0;0/0;0/196,1/257;0/0;0/1181,1/1553
15959.67;0;454;0;2;0/15959.67;0/4377.47,1/687.23;0/0;0/15959.67,1/15959.67;0/0;0/18,1/14;0/0;0/18,1/26;0/0;0/0,1/0;0/0;0/196,1/258;0/0;0/1181,1/1559
