#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
3059.91;0;556;0;3;0/3059.91;0/384.42,1/464.39,2/167.98;0/0;0/3059.91,1/3059.91,2/3059.91;0/0;0/18,1/23,2/8;0/0;0/20,1/28,2/19;0/0;0/0,1/0,2/0;0/0;0/190,1/171,2/195;0/0;0/271,1/263,2/293
3119.96;0;569;0;3;0/3119.96;0/394.97,1/465.12,2/169.09;0/0;0/3119.96,1/3119.96,2/3119.96;0/0;0/19,1/17,2/7;0/0;0/20,1/22,2/18;0/0;0/0,1/0,2/0;0/0;0/195,1/174,2/200;0/0;0/276,1/269,2/299
3179.71;0;579;0;3;0/3179.71;0/422.26,1/471.46,2/170.26;0/0;0/3179.71,1/3179.71,2/3179.71;0/0;0/14,1/19,2/7;0/0;0/16,1/20,2/20;0/0;0/0,1/0,2/0;0/0;0/198,1/180,2/201;0/0;0/280,1/275,2/305
3239.74;0;592;0;3;0/3239.74;0/424.55,1/490.09,2/171.37;0/0;0/3239.74,1/3239.74,2/3239.74;0/0;0/21,1/20,2/16;0/0;0/25,1/20,2/28;0/0;0/0,1/0,2/0;0/0;0/202,1/184,2/206;0/0;0/286,1/279,2/311
3299.97;0;602;0;3;0/3299.97;0/425.99,1/544.25,2/172.59;0/0;0/3299.97,1/3299.97,2/3299.97;0/0;0/20,1/16,2/23;0/0;0/22,1/20,2/34;0/0;0/0,1/0,2/0;0/0;0/207,1/184,2/211;0/0;0/292,1/279,2/317
3359.97;0;613;0;3;0/3359.97;0/448.09,1/552.32,2/173.58;0/0;0/3359.97,1/3359.97,2/3359.97;0/0;0/23,1/19,2/26;0/0;0/25,1/24,2/36;0/0;0/0,1/0,2/0;0/0;0/210,1/187,2/216;0/0;0/295,1/285,2/323
3419.95;0;625;0;3;0/3419.95;0/468.85,1/553.13,2/174.47;0/0;0/3419.95,1/3419.95,2/3419.95;0/0;0/21,1/12,2/22;0/0;0/24,1/18,2/30;0/0;0/0,1/0,2/0;0/0;0/214,1/190,2/221;0/0;0/299,1/291,2/329
3479.97;0;637;0;3;0/3479.97;0/483.4,1/554.08,2/175.17;0/0;0/3479.97,1/3479.97,2/3479.97;0/0;0/14,1/18,2/20;0/0;0/21,1/23,2/24;0/0;0/0,1/0,2/0;0/0;0/218,1/193,2/226;0/0;0/304,1/297,2/335
3539.85;0;650;0;3;0/3539.85;0/484.61,1/555.03,2/175.89;0/0;0/3539.85,1/3539.85,2/3539.85;0/0;0/18,1/20,2/15;0/0;0/29,1/23,2/18;0/0;0/0,1/0,2/0;0/0;0/221,1/199,2/230;0/0;0/310,1/303,2/341
3599.71;0;662;0;3;0/3599.71;0/485.94,1/565.27,2/187.32;0/0;0/3599.71,1/3599.71,2/3599.71;0/0;0/14,1/24,2/16;0/0;0/26,1/25,2/19;0/0;0/0,1/0,2/0;0/0;0/224,1/203,2/235;0/0;0/316,1/308,2/346
3659.84;0;671;0;3;0/3659.84;0/486.37,1/607.2,2/188.95;0/0;0/3659.84,1/3659.84,2/3659.84;0/0;0/11,1/23,2/15;0/0;0/23,1/24,2/19;0/0;0/0,1/0,2/0;0/0;0/229,1/204,2/238;0/0;0/322,1/309,2/352
3719.98;0;684;0;3;0/3719.98;0/487.18,1/638.87,2/190.08;0/0;0/3719.98,1/3719.98,2/3719.98;0/0;0/16,1/18,2/19;0/0;0/24,1/23,2/24;0/0;0/0,1/0,2/0;0/0;0/235,1/207,2/242;0/0;0/328,1/312,2/358
3779.83;0;700;0;3;0/3779.83;0/488.52,1/646.6,2/191.06;0/0;0/3779.83,1/3779.83,2/3779.83;0/0;0/16,1/17,2/18;0/0;0/24,1/20,2/24;0/0;0/0,1/0,2/0;0/0;0/240,1/212,2/248;0/0;0/334,1/318,2/364
3839.98;0;714;0;3;0/3839.98;0/489.12,1/659.44,2/191.5;0/0;0/3839.98,1/3839.98,2/3839.98;0/0;0/19,1/15,2/12;0/0;0/25,1/19,2/18;0/0;0/0,1/0,2/0;0/0;0/246,1/216,2/252;0/0;0/340,1/322,2/370
3899.92;0;722;0;3;0/3899.92;0/489.7,1/665.54,2/192.04;0/0;0/3899.92,1/3899.92,2/3899.92;0/0;0/18,1/13,2/4;0/0;0/22,1/16,2/15;0/0;0/0,1/0,2/0;0/0;0/250,1/219,2/253;0/0;0/346,1/328,2/376
3959.68;0;735;0;3;0/3959.68;0/490.98,1/666.6,2/192.95;0/0;0/3959.68,1/3959.68,2/3959.68;0/0;0/21,1/17,2/15;0/0;0/22,1/20,2/27;0/0;0/0,1/0,2/0;0/0;0/255,1/223,2/257;0/0;0/352,1/334,2/382
4019.94;0;746;0;3;0/4019.94;0/518.88,1/667.76,2/194.32;0/0;0/4019.94,1/4019.94,2/4019.94;0/0;0/24,1/14,2/20;0/0;0/25,1/20,2/30;0/0;0/0,1/0,2/0;0/0;0/258,1/226,2/262;0/0;0/355,1/340,2/388
4079.65;0;757;0;3;0/4079.65;0/559.02,1/668.64,2/195.95;0/0;0/4079.65,1/4079.65,2/4079.65;0/0;0/20,1/12,2/28;0/0;0/23,1/17,2/37;0/0;0/0,1/0,2/0;0/0;0/260,1/231,2/266;0/0;0/357,1/346,2/394
4139.73;0;767;0;3;0/4139.73;0/566.36,1/669.32,2/197.59;0/0;0/4139.73,1/4139.73,2/4139.73;0/0;0/15,1/13,2/20;0/0;0/18,1/16,2/31;0/0;0/0,1/0,2/0;0/0;0/263,1/234,2/270;0/0;0/362,1/352,2/400
4199.83;0;777;0;3;0/4199.83;0/580.59,1/673.51,2/199.12;0/0;0/4199.83,1/4199.83,2/4199.83;0/0;0/15,1/16,2/15;0/0;0/17,1/17,2/28;0/0;0/0,1/0,2/0;0/0;0/267,1/239,2/271;0/0;0/367,1/357,2/406
